"shots_detailID","TableIndex","MatchID","GameWeek","Player","ForTeam","AgainstTeam","RelativeStrength","Time","ShotOutcome","AssistedBy","ShotType","ShotPosition","ShotSide","Close"
"1","0","58901","1","Dominic Calvert-Lewin","Everton","Tottenham Hotspur","-1","55","Goal","Lucas Digne","header","the box","the centre","close"
"2","1","58901","1","Ben Davies","Tottenham Hotspur","Everton","1","81","Blocked","Toby Alderweireld","left footed shot","the six yard box","the right","not close"
"3","2","58901","1","Richarlison","Everton","Tottenham Hotspur","-1","71","Blocked","Seamus Coleman","right footed shot","the box","the left","not close"
"4","3","58901","1","Andre Gomes","Everton","Tottenham Hotspur","-1","53","Blocked","Abdoulaye Doucoure","left footed shot","the box","the centre","not close"
"5","4","58901","1","Lucas Moura","Tottenham Hotspur","Everton","1","39","Blocked","Son Heung-Min","header","the box","the centre","not close"
"6","5","58901","1","Richarlison","Everton","Tottenham Hotspur","-1","31","Blocked","James Rodriguez","right footed shot","the box","the left","not close"
"7","6","58901","1","James Rodriguez","Everton","Tottenham Hotspur","-1","27","Blocked","Richarlison","right footed shot","the box","the right","not close"
"8","7","58901","1","Son Heung-Min","Tottenham Hotspur","Everton","1","26","Blocked","Dele Alli","right footed shot","the box","the left","not close"
"9","8","58901","1","Dominic Calvert-Lewin","Everton","Tottenham Hotspur","-1","84","Saved","Abdoulaye Doucoure","right footed shot","the box","the right","close"
"10","9","58901","1","Harry Kane","Tottenham Hotspur","Everton","1","81","Saved","Ben Davies","header","the box","the centre","close"
"11","10","58901","1","Seamus Coleman","Everton","Tottenham Hotspur","-1","74","Saved","Abdoulaye Doucoure","right footed shot","outside the box","N/A","close"
"12","11","58901","1","Lucas Moura","Tottenham Hotspur","Everton","1","69","Saved","Ben Davies","header","the box","the centre","close"
"13","12","58901","1","Richarlison","Everton","Tottenham Hotspur","-1","43","Saved","James Rodriguez","left footed shot","outside the box","N/A","close"
"14","13","58901","1","Matt Doherty","Tottenham Hotspur","Everton","1","42","Saved","Harry Kane","right footed shot","the six yard box","the right","close"
"15","14","58901","1","Dele Alli","Tottenham Hotspur","Everton","1","33","Saved","Son Heung-Min","right footed shot","the box","the centre","close"
"16","15","58901","1","Son Heung-Min","Tottenham Hotspur","Everton","1","3","Saved","Harry Kane","right footed shot","outside the box","N/A","close"
"17","16","58901","1","Harry Kane","Tottenham Hotspur","Everton","1","78","Miss","Son Heung-Min","header","the box","the centre","not close"
"18","17","58901","1","Richarlison","Everton","Tottenham Hotspur","-1","72","Miss","James Rodriguez","right footed shot","the box","the left","close"
"19","18","58901","1","Richarlison","Everton","Tottenham Hotspur","-1","69","Miss","James Rodriguez","right footed shot","outside the box","N/A","close"
"20","19","58901","1","Richarlison","Everton","Tottenham Hotspur","-1","52","Miss","James Rodriguez","header","the six yard box","the left","close"
"21","20","58901","1","James Rodriguez","Everton","Tottenham Hotspur","-1","51","Miss","Dominic Calvert-Lewin","left footed shot","the box","the centre","not close"
"22","21","58901","1","James Rodriguez","Everton","Tottenham Hotspur","-1","37","Miss","Abdoulaye Doucoure","left footed shot","outside the box","N/A","close"
"23","22","58901","1","Yerry Mina","Everton","Tottenham Hotspur","-1","23","Miss","N/A","right footed shot","outside the box","N/A","not close"
"24","23","58901","1","Richarlison","Everton","Tottenham Hotspur","-1","16","Miss","N/A","left footed shot","a difficult angle","the left","not close"
"25","0","58902","1","Jamie Vardy","Leicester City","West Bromwich Albion","2","84","Goal","N/A","right footed shot","penalty","N/A","close"
"26","1","58902","1","Jamie Vardy","Leicester City","West Bromwich Albion","2","74","Goal","N/A","right footed shot","penalty","N/A","close"
"27","2","58902","1","Timothy Castagne","Leicester City","West Bromwich Albion","2","56","Goal","Dennis Praet","header","very close range","N/A","close"
"28","3","58902","1","Kyle Edwards","West Bromwich Albion","Leicester City","-2","87","Blocked","N/A","right footed shot","the box","the centre","not close"
"29","4","58902","1","Harvey Barnes","Leicester City","West Bromwich Albion","2","60","Blocked","N/A","right footed shot","the box","the centre","not close"
"30","5","58902","1","Dennis Praet","Leicester City","West Bromwich Albion","2","59","Blocked","Harvey Barnes","right footed shot","outside the box","N/A","not close"
"31","6","58902","1","Darnell Furlong","West Bromwich Albion","Leicester City","-2","42","Blocked","Matheus Pereira","right footed shot","outside the box","N/A","not close"
"32","7","58902","1","Ayoze Perez","Leicester City","West Bromwich Albion","2","39","Blocked","Jamie Vardy","right footed shot","the box","the right","not close"
"33","8","58902","1","Matheus Pereira","West Bromwich Albion","Leicester City","-2","17","Blocked","N/A","left footed shot","outside the box","N/A","not close"
"34","9","58902","1","Youri Tielemans","Leicester City","West Bromwich Albion","2","64","Saved","N/A","right footed shot","outside the box","N/A","close"
"35","10","58902","1","Matheus Pereira","West Bromwich Albion","Leicester City","-2","42","Saved","Jake Livermore","left footed shot","the box","the left","close"
